model,oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
M4,randomWp,500000,7,True,518,2680,231,1976
M5,randomWp,500000,8,True,583,3695,2108,19197
M3,randomWp,500000,8,True,593,3259,273,2244
M1,randomWp,500000,5,True,367,1432,93,752
M2,randomWp,500000,8,True,629,3190,244,2124
M6,randomWp,500000,7,True,459,2518,694,5424
M4,randomWp,500000,7,True,468,2573,341,2958
M5,randomWp,500000,8,True,560,3492,2561,22544
M3,randomWp,500000,8,True,640,3718,463,4103
M1,randomWp,500000,5,True,378,1489,85,634
M2,randomWp,500000,8,True,641,3258,373,3293
M6,randomWp,500000,7,True,472,2529,850,7054
M4,randomWp,500000,7,True,532,2727,104,819
M5,randomWp,500000,8,True,590,3434,500,4378
M3,randomWp,500000,8,True,569,3066,937,8434
M1,randomWp,500000,5,True,328,1345,58,518
M2,randomWp,500000,8,True,619,3182,458,3878
M6,randomWp,500000,7,True,495,2536,291,2507
M4,randomWp,500000,7,True,496,2691,180,1523
M5,randomWp,500000,8,True,610,3822,569,4905
M3,randomWp,500000,8,True,603,3207,715,6159
M1,randomWp,500000,5,True,305,1287,18,136
M2,randomWp,500000,8,True,591,3063,688,5648
M6,randomWp,500000,7,True,461,2541,715,5835
M4,randomWp,500000,7,True,516,2735,715,5951
M5,randomWp,500000,8,True,584,3729,864,7754
M3,randomWp,500000,8,True,513,2893,1455,12731
M1,randomWp,500000,5,True,300,1138,28,214
M2,randomWp,500000,8,True,623,3245,1822,15108
M6,randomWp,500000,7,True,525,2810,569,4821
M4,randomWp,500000,7,True,512,2659,311,2574
M5,randomWp,500000,8,True,573,3379,1015,9112
M3,randomWp,500000,8,True,563,3140,1298,11408
M1,randomWp,500000,5,True,365,1531,176,1287
M2,randomWp,500000,8,True,565,2952,1347,11373
M6,randomWp,500000,7,True,462,2545,123,1036
M4,randomWp,500000,7,True,531,2798,158,1301
M5,randomWp,500000,8,True,622,3693,376,3098
M3,randomWp,500000,8,True,585,3206,2026,17105
