AL#,RandomWp100,RandomWp100,adg,0,0,0,0,4864,26827,8,8,0,None
IF-AL#,RandomWp100,RandomWp100,adg,7,7,6,29,4789,26450,8,8,0,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,4788,26343,8,8,0,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,4793,26361,8,8,0,None
IF-AL#,RandomWp100,RandomWp100,adg,7,7,14,69,4841,26804,8,8,0,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,4750,26274,8,8,0,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,23721,129917,40,8,4,None
IF-AL#,RandomWp100,RandomWp100,adg,62,78,15699,93122,4786,26513,40,8,4,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,24163,133480,40,8,4,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,23791,130328,40,8,4,None
IF-AL#,RandomWp100,RandomWp100,adg,62,78,15743,93512,4885,26887,40,8,4,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,24117,132828,40,8,4,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,47380,260434,80,8,9,None
IF-AL#,RandomWp100,RandomWp100,adg,129,161,35215,209255,4816,26548,80,8,9,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,47812,263380,80,8,9,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,47223,259290,80,8,9,None
IF-AL#,RandomWp100,RandomWp100,adg,129,161,35296,209128,4796,26433,80,8,9,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,48082,265771,80,8,9,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,71134,391009,120,8,14,None
IF-AL#,RandomWp100,RandomWp100,adg,199,255,55092,327338,4711,25874,120,8,14,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,71742,396172,119,8,14,None
AL#,RandomWp100,RandomWp100,adg,0,0,0,0,70955,389221,120,8,14,None
IF-AL#,RandomWp100,RandomWp100,adg,199,255,54936,325659,4681,25938,120,8,14,None
L#,RandomWp100,RandomWp100,adg,0,0,0,0,71564,394165,120,8,14,None
