method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,294956,1474402,0,4,552,26,None
IF-AL#,RandomWp25,RandomWp25,adg,2132,6636,109875,718058,12709,68603,13,7,525,29,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,396772,2175065,0,4,551,26,None
IF-AL#,RandomWp50,RandomWp50,adg,2060,6501,217379,1434823,16311,95652,8,3,548,25,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,276634,1388389,17,12,513,34,None
IF-AL#,RandomWp25,RandomWp25,adg,2411,7447,111002,725152,12171,65155,8,5,532,27,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,384238,2117998,4,13,540,35,None
IF-AL#,RandomWp50,RandomWp50,adg,2067,6329,220207,1458758,19025,112674,1,5,574,27,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,289944,1458339,2,4,549,26,None
IF-AL#,RandomWp25,RandomWp25,adg,1940,6150,112424,734684,11743,63045,3,2,548,24,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,384269,2124861,9,8,542,30,None
IF-AL#,RandomWp50,RandomWp50,adg,2665,8057,212268,1386658,16653,97166,10,5,500,27,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,284479,1435033,4,6,547,28,None
IF-AL#,RandomWp25,RandomWp25,adg,2200,6562,109176,713579,11917,64066,12,4,503,26,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,387783,2137984,6,5,542,27,None
IF-AL#,RandomWp50,RandomWp50,adg,2238,7262,206862,1334081,17960,103882,4,8,452,30,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,279424,1399157,5,14,522,36,None
IF-AL#,RandomWp25,RandomWp25,adg,2003,6310,111013,726447,12691,68196,10,4,535,26,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,397740,2181393,0,3,554,25,None
IF-AL#,RandomWp50,RandomWp50,adg,2394,6636,216910,1433123,16237,95213,10,2,545,24,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,279652,1411297,15,7,528,29,None
IF-AL#,RandomWp25,RandomWp25,adg,2734,7900,108672,708231,12196,65112,17,7,503,29,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,392240,2157889,1,5,552,27,None
IF-AL#,RandomWp50,RandomWp50,adg,2252,7428,220231,1461209,20613,123553,0,7,577,29,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,279060,1396715,5,17,522,39,None
IF-AL#,RandomWp25,RandomWp25,adg,2416,7187,108722,707404,12620,66902,12,8,515,30,None
