method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp50,adg,54,165,12813,103132,36197,264672,0,3,27,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14057,115396,28676,210120,0,0,25,6
IF-AL#,RandomWp50,RandomWp25,adg,55,163,20393,156762,34371,243164,0,4,26,10
IF-AL#,RandomWp50,RandomWp50,adg,59,218,25314,206016,29890,216337,0,2,28,8
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28099,230976,28435,209982,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,75,284,36469,293024,37257,255153,0,7,23,13
IF-AL#,RandomWp100,RandomWp50,adg,54,177,42911,340209,39305,287842,0,3,27,9
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55256,457089,28854,215312,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,72,228,8113,59890,39742,273929,0,7,22,13
IF-AL#,RandomWp25,RandomWp50,adg,49,135,12265,99812,32386,232456,0,3,22,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14183,116637,28331,210081,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,64,231,20576,163305,33130,224286,0,5,25,11
IF-AL#,RandomWp50,RandomWp50,adg,42,168,23378,184567,30771,219778,0,3,26,9
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28051,230310,28486,212083,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,57,173,38414,295583,34202,239300,0,4,26,10
IF-AL#,RandomWp100,RandomWp50,adg,51,120,51759,422111,29073,214208,0,1,29,7
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55271,456558,28424,209519,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,69,231,10682,84674,29742,205539,0,4,26,10
IF-AL#,RandomWp25,RandomWp50,adg,52,163,13786,112855,32532,238135,0,2,28,8
IF-AL#,RandomWp25,RandomWp100,adg,49,128,14118,115958,31414,230382,0,1,29,7
IF-AL#,RandomWp50,RandomWp25,adg,70,233,20567,162423,32796,217166,0,6,24,12
IF-AL#,RandomWp50,RandomWp50,adg,48,96,28071,230851,22205,158770,0,0,30,6
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28086,230960,28548,208820,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,68,267,29093,212756,39225,263645,0,7,23,13
IF-AL#,RandomWp100,RandomWp50,adg,41,186,52430,433197,28159,209962,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,51,117,50520,410266,38480,295876,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,62,234,9860,77287,32310,217491,0,6,20,12
IF-AL#,RandomWp25,RandomWp50,adg,52,108,13860,113851,23727,163968,0,1,28,7
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14173,116364,28744,211946,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,69,245,14530,105702,42630,290049,0,7,23,13
IF-AL#,RandomWp50,RandomWp50,adg,70,213,23007,187164,36962,262572,0,4,25,10
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28072,230987,28348,210185,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,58,214,38665,303381,37655,271125,0,5,25,11
IF-AL#,RandomWp100,RandomWp50,adg,52,167,48803,397466,31800,232537,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55374,457750,28740,213524,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,61,223,8911,64292,29408,194612,0,4,25,10
IF-AL#,RandomWp25,RandomWp50,adg,52,170,12294,99054,32952,239827,0,2,28,8
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14159,116002,28527,213295,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,62,253,18033,140480,38921,275221,0,7,23,13
IF-AL#,RandomWp50,RandomWp50,adg,53,165,24187,194024,35568,266494,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,51,117,25778,209004,37416,285295,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,51,232,34586,277490,38968,262379,0,7,22,13
IF-AL#,RandomWp100,RandomWp50,adg,63,151,50295,418466,28612,196082,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55302,457269,28301,209905,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,73,258,8933,69113,38394,258656,0,7,22,13
IF-AL#,RandomWp25,RandomWp50,adg,51,120,13620,111184,29513,214797,0,1,29,7
IF-AL#,RandomWp25,RandomWp100,adg,38,193,12977,105485,41800,316646,0,2,28,8
IF-AL#,RandomWp50,RandomWp25,adg,48,213,25202,205483,26386,182447,0,3,27,9
IF-AL#,RandomWp50,RandomWp50,adg,49,125,26204,214730,30822,226904,0,2,27,8
IF-AL#,RandomWp50,RandomWp100,adg,52,176,26230,212615,46934,371103,0,2,28,8
IF-AL#,RandomWp100,RandomWp25,adg,51,191,38227,293846,32836,225646,0,4,26,10
IF-AL#,RandomWp100,RandomWp50,adg,52,160,48456,393935,30801,222823,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55370,457550,28433,211066,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,74,273,7896,58820,44473,305774,0,9,16,15
IF-AL#,RandomWp25,RandomWp50,adg,57,168,13338,108804,29841,222959,0,2,28,8
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14168,116295,27937,206332,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,64,234,17533,132034,36887,256226,0,7,22,13
IF-AL#,RandomWp50,RandomWp50,adg,62,150,26879,221824,26950,187861,0,2,27,8
IF-AL#,RandomWp50,RandomWp100,adg,51,120,27227,222576,37458,288936,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,62,234,31300,232739,47217,341999,0,7,23,13
IF-AL#,RandomWp100,RandomWp50,adg,48,96,55238,456478,22056,157575,0,0,30,6
IF-AL#,RandomWp100,RandomWp100,adg,71,170,53960,448099,30447,221777,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,82,287,9744,77510,35583,237224,0,6,23,12
IF-AL#,RandomWp25,RandomWp50,adg,53,163,13239,107964,32441,237479,0,2,26,8
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14172,116495,27905,207084,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,72,269,24438,196778,35217,259959,0,5,25,11
IF-AL#,RandomWp50,RandomWp50,adg,50,151,22657,177540,42474,320138,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,51,117,25496,205795,38793,300754,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,58,217,37982,292748,32175,219578,0,5,25,11
IF-AL#,RandomWp100,RandomWp50,adg,48,96,55391,457883,21316,150323,0,0,30,6
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55274,456688,28797,212932,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,76,235,10821,87044,24788,160417,0,6,20,12
IF-AL#,RandomWp25,RandomWp50,adg,54,177,11891,95557,39118,287951,0,3,27,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14151,116102,28340,212749,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,70,229,21862,176866,35835,250551,0,5,24,11
IF-AL#,RandomWp50,RandomWp50,adg,48,207,23996,195039,33378,238402,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28069,230536,28296,209894,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,67,270,34869,269800,34227,230826,0,6,24,12
IF-AL#,RandomWp100,RandomWp50,adg,61,162,53659,444990,24543,171068,0,2,28,8
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55428,457978,28789,211807,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,74,213,10396,80540,33219,224610,0,5,24,11
IF-AL#,RandomWp25,RandomWp50,adg,45,176,12916,106196,32858,233713,0,3,26,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14177,116274,27924,207330,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,50,150,23160,182156,24759,167109,0,2,28,8
IF-AL#,RandomWp50,RandomWp50,adg,51,117,25863,208968,28926,210811,0,1,29,7
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28091,231017,28138,207246,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,65,244,32626,247201,38017,256683,0,7,23,13
IF-AL#,RandomWp100,RandomWp50,adg,58,186,46868,382561,33023,236515,0,3,27,9
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55342,457385,28198,208594,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,58,267,8847,68202,40317,273556,0,8,21,14
IF-AL#,RandomWp25,RandomWp50,adg,51,117,12956,104318,27836,201152,0,1,29,7
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14135,115891,28621,209832,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,57,256,18522,143357,39548,272678,0,6,24,12
IF-AL#,RandomWp50,RandomWp50,adg,51,158,21061,162134,41709,315125,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28058,231286,28317,211606,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,58,212,36601,283007,34252,235816,0,5,25,11
IF-AL#,RandomWp100,RandomWp50,adg,55,185,47756,389363,31952,226922,0,3,27,9
IF-AL#,RandomWp100,RandomWp100,adg,51,120,51950,424395,37111,285607,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,69,257,8101,60076,39228,263826,0,8,21,14
IF-AL#,RandomWp25,RandomWp50,adg,53,170,11853,96783,36180,256162,0,3,26,9
IF-AL#,RandomWp25,RandomWp100,adg,48,96,14166,116300,27899,207600,0,0,30,6
IF-AL#,RandomWp50,RandomWp25,adg,60,185,24232,196863,27205,187727,0,3,27,9
IF-AL#,RandomWp50,RandomWp50,adg,49,212,24511,197806,36853,272376,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,48,96,28061,231528,28698,213116,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,65,253,31466,244038,45462,317668,0,8,22,14
IF-AL#,RandomWp100,RandomWp50,adg,48,210,47391,387186,32404,232401,0,3,27,9
IF-AL#,RandomWp100,RandomWp100,adg,48,96,55277,457418,28385,210007,0,0,30,6
IF-AL#,RandomWp25,RandomWp25,adg,58,181,9109,66151,24216,155520,0,4,24,10
IF-AL#,RandomWp25,RandomWp50,adg,68,212,12011,97463,35897,254728,0,4,20,10
IF-AL#,RandomWp25,RandomWp100,adg,59,194,12972,106742,45189,339933,0,3,27,9
IF-AL#,RandomWp50,RandomWp25,adg,64,236,17440,134115,36068,241865,0,7,23,13
IF-AL#,RandomWp50,RandomWp50,adg,47,203,23514,191033,36747,259436,0,4,25,10
IF-AL#,RandomWp50,RandomWp100,adg,51,117,25601,206732,38050,289029,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,51,117,52183,426270,21889,156487,0,1,29,7
IF-AL#,RandomWp100,RandomWp50,adg,48,96,55303,457357,21775,153563,0,0,30,6
IF-AL#,RandomWp100,RandomWp100,adg,52,160,48366,393495,41809,317340,0,2,28,8
