method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,251588,1866212,0,16,58,36,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,333125,2614246,0,17,51,37,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1773482,16772529,0,4,95,24,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,244770,1810863,0,24,54,44,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,340478,2705738,0,10,65,30,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1761735,16605184,0,5,90,25,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,252586,1880858,0,15,50,35,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,344812,2756162,0,18,70,38,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1773938,16796852,0,2,98,22,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,251374,1873326,0,26,45,46,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,336296,2672684,0,8,62,28,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1774110,16795605,0,2,93,22,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,251021,1860254,0,24,48,44,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,339936,2703000,0,16,61,36,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1741786,16254611,0,11,81,31,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,248306,1841595,0,17,50,37,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,333417,2620998,0,14,52,34,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1729757,16037068,0,7,84,27,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,254474,1900925,0,20,49,40,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,340975,2719187,0,16,56,36,None
AL#,RandomWp500,RandomWp500,adg,0,0,0,0,1720033,15891471,0,9,80,29,None
IF-AL#,RandomWp200,RandomWp200,adg,318,1410,505470,4739142,242569,2256337,0,9,74,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,838726,7510048,0,6,88,26,None
IF-AL#,RandomWp200,RandomWp200,adg,317,1560,499432,4661326,242647,2333655,0,7,72,27,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,831657,7427695,0,10,71,30,None
IF-AL#,RandomWp200,RandomWp200,adg,316,1557,496537,4634649,258433,2503472,0,9,75,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,822754,7276183,0,12,75,32,None
IF-AL#,RandomWp200,RandomWp200,adg,337,1555,486930,4496746,264156,2463399,0,11,77,31,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,832438,7447764,0,12,74,32,None
