method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp50,adg,58,72,4460,25302,2981,15292,1,0,39,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4538,25723,4796,26503,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8434,48833,2065,9711,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8460,48859,3088,15955,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8494,49259,4857,26847,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,65,117,15423,91531,2127,10139,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15728,93211,3014,15422,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15758,93276,4750,26286,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,58,72,4426,25136,2135,9990,1,0,39,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4461,25467,3047,15415,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4532,25649,4671,25603,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,44,104,8186,47221,2270,10900,0,1,39,9
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8429,48695,3032,15471,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8555,49674,4700,26022,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15891,94237,2044,9759,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15709,93112,3016,15518,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15816,93666,4782,26435,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4479,25368,2039,9588,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4478,25477,3040,15328,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4524,25640,4812,26657,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,42,104,7764,44667,2715,13114,0,1,39,9
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8499,49115,3000,15449,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,58,72,8358,48301,4793,26301,1,0,39,8
IF-AL#,RandomWp100,RandomWp25,adg,65,117,15414,91543,2115,9899,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15795,93703,3045,15673,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15764,93556,4872,26846,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,43,103,4428,25135,2477,12109,0,1,39,9
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4518,25616,2976,15214,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4494,25619,4788,26435,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8506,49263,2044,9518,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8384,48775,3026,15381,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8431,48943,4807,26294,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,44,104,15034,89021,2305,10963,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15858,94027,2956,15124,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15844,93964,4688,25881,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4519,25499,2098,10029,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4509,25731,3071,15783,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4482,25500,4776,26254,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,56,66,8357,48338,2043,9633,2,0,38,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8451,48982,3023,15408,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8473,49146,4774,26314,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15809,93627,2049,9713,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15758,93522,3045,15727,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15754,93361,4710,26029,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,44,104,4263,24153,2271,10718,0,1,39,9
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4519,25603,3072,15614,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4478,25326,4873,26806,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8566,49665,2035,9559,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8477,48997,3052,15825,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8564,49780,4790,26415,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15686,93193,2166,10241,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15886,94453,3051,15835,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15936,94529,4983,28030,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4445,25260,2086,9763,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,58,72,4517,25626,2977,15540,1,0,39,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4488,25612,4738,26205,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8564,49552,2054,9678,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8488,49270,3036,15573,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8501,49212,4728,25957,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15832,93703,2087,9806,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15743,93673,3136,16111,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15746,93296,4757,26296,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4506,25721,2138,10063,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4473,25417,3118,15916,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,58,72,4458,25126,4787,26374,1,0,39,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8446,48940,2046,9652,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8433,48837,2995,15334,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,58,72,8349,48222,4895,27000,1,0,39,8
IF-AL#,RandomWp100,RandomWp25,adg,65,117,15555,92403,2084,9833,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15736,93336,2992,15387,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15671,92654,4740,26001,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4511,25676,2067,9703,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,58,72,4459,25395,3046,15623,1,0,39,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4514,25641,4791,26410,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8479,49102,2066,9678,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8522,49279,3023,15580,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8524,49227,4759,26277,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15879,94092,2031,9564,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15797,93818,3051,15775,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15777,93613,4843,26738,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4466,25373,2076,9726,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4520,25522,3118,16159,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4424,25295,4796,26383,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8565,49484,2098,9991,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8491,48903,3056,15828,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,56,66,8262,47610,4757,26306,2,0,38,8
IF-AL#,RandomWp100,RandomWp25,adg,44,104,15069,89071,2329,10913,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15866,94213,2986,15304,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15884,94321,4756,26310,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4512,25513,2105,9975,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4507,25511,2995,15406,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4522,25772,4870,26785,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8490,49117,2062,9724,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8494,49220,3078,15876,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8509,49396,4790,26364,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,47,111,14922,88368,2506,11836,0,1,39,9
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15849,93925,3009,15609,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15664,92892,4856,26735,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,41,97,4263,24313,2522,12335,0,1,38,9
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4465,25307,3033,15524,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4488,25530,4815,26422,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8476,49227,2048,9521,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8414,48698,3027,15356,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8564,49544,4759,26297,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15669,93017,2115,9998,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15811,93787,3000,15489,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15751,93514,4846,26760,0,0,40,8
IF-AL#,RandomWp25,RandomWp25,adg,59,75,4481,25502,2054,9636,0,0,40,8
IF-AL#,RandomWp25,RandomWp50,adg,59,75,4557,25778,3027,15575,0,0,40,8
IF-AL#,RandomWp25,RandomWp100,adg,59,75,4506,25693,4788,26419,0,0,40,8
IF-AL#,RandomWp50,RandomWp25,adg,59,75,8587,49811,1987,9335,0,0,40,8
IF-AL#,RandomWp50,RandomWp50,adg,59,75,8508,49097,3049,15584,0,0,40,8
IF-AL#,RandomWp50,RandomWp100,adg,59,75,8481,48976,4814,26388,0,0,40,8
IF-AL#,RandomWp100,RandomWp25,adg,59,75,15806,93538,2067,9681,0,0,40,8
IF-AL#,RandomWp100,RandomWp50,adg,59,75,15780,93529,2979,15269,0,0,40,8
IF-AL#,RandomWp100,RandomWp100,adg,59,75,15876,94014,4683,25886,0,0,40,8
