method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1429350,58171881,467,36,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,231317,59368763,590,27,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2012,7080,14148,57321142,19642,2236000,593,23,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2153,7398,41885,57283607,52065,2212981,587,25,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1431889,58169710,467,36,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,424454,59175999,554,26,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2202,8230,13915,57120602,36231,2418891,591,26,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2157,7359,11162,57172192,45850,2361333,591,25,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1436373,58164903,465,37,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,228525,59371532,592,25,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2040,6966,65982,57203478,22935,2298808,583,24,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2068,7573,29950,56894566,57932,2607996,586,28,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1466557,58134962,449,35,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,271867,59328255,582,28,0,100000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,2178,8296,29633,56874153,48151,2637801,586,29,0,100000
IF-L#,RandomWpBudget,RandomWpBudget,adg,2091,7603,15333,57041904,61178,2471968,589,26,0,100000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1416490,58184774,472,38,0,100000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,229682,59370347,591,24,0,100000
