method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,learned_models,len(specifications),start_specs,budget
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,540661,74459369,95,24,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,323,1361,97705,57607867,285076,17007752,94,25,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,314,1421,230473,55804292,508151,18455528,86,29,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1644202,73356041,79,37,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,544867,74455253,92,25,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,351,1431,114916,57150702,276649,17456068,93,24,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,291,1415,144102,57799104,370297,16684880,92,25,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1662487,73337828,80,36,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,523060,74477015,94,26,0,750000
IF-AL#,RandomWpBudget,RandomWpBudget,adg,346,1389,77352,58656807,267380,15996799,96,23,0,750000
IF-L#,RandomWpBudget,RandomWpBudget,adg,332,1412,88103,55828314,454996,18626920,91,28,0,750000
L#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,1644060,73356184,77,37,0,750000
AL#,RandomWpBudget,RandomWpBudget,None,0,0,0,0,594397,74405700,90,27,0,750000
