method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp25,RandomWp50,adg,65,130,3201,20348,4862,23958,0,1,15,7
IF-AL#,RandomWp25,RandomWp100,adg,53,128,3220,20842,6591,36442,0,1,15,7
IF-AL#,RandomWp50,RandomWp25,adg,60,157,4748,29213,5921,27627,0,6,13,12
IF-AL#,RandomWp50,RandomWp50,adg,50,117,5462,34453,6464,34424,0,3,17,9
IF-AL#,RandomWp50,RandomWp100,adg,47,120,5780,37421,8244,44705,0,3,17,9
IF-AL#,RandomWp100,RandomWp25,adg,55,128,12882,87274,6214,31752,0,4,21,10
IF-AL#,RandomWp100,RandomWp50,adg,47,139,13130,89003,7449,40934,0,4,21,10
IF-AL#,RandomWp100,RandomWp100,adg,63,120,15814,110006,8609,51769,0,1,28,7
IF-AL#,RandomWp25,RandomWp25,adg,48,114,2018,10706,2506,9139,0,2,0,8
IF-AL#,RandomWp25,RandomWp50,adg,59,159,2602,15813,5997,29249,0,4,11,10
IF-AL#,RandomWp25,RandomWp100,adg,48,110,3662,24580,7947,46385,0,1,23,7
IF-AL#,RandomWp50,RandomWp25,adg,64,181,6217,41061,7718,39586,0,6,15,12
IF-AL#,RandomWp50,RandomWp50,adg,66,172,4732,29676,7448,37659,0,7,10,13
IF-AL#,RandomWp50,RandomWp100,adg,52,124,7036,47044,10014,60805,0,3,23,9
IF-AL#,RandomWp100,RandomWp25,adg,62,182,11795,78457,6876,33896,0,6,18,12
IF-AL#,RandomWp100,RandomWp50,adg,58,146,14307,98754,7433,42219,0,4,25,10
IF-AL#,RandomWp100,RandomWp100,adg,71,225,14353,99229,9676,57090,0,3,26,9
IF-AL#,RandomWp25,RandomWp25,adg,50,124,2063,11322,3588,14046,0,4,5,10
IF-AL#,RandomWp25,RandomWp50,adg,63,138,4080,28139,7289,41384,0,2,27,8
IF-AL#,RandomWp25,RandomWp100,adg,48,154,3609,24161,9021,52183,0,2,21,8
IF-AL#,RandomWp50,RandomWp25,adg,55,131,4213,23708,4000,16979,0,3,6,9
IF-AL#,RandomWp50,RandomWp50,adg,60,158,5320,33651,7009,35710,0,5,11,11
IF-AL#,RandomWp50,RandomWp100,adg,46,100,8501,60104,8205,50325,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,59,183,8762,53605,6090,29506,0,8,10,14
IF-AL#,RandomWp100,RandomWp50,adg,62,220,13853,95221,7847,43905,0,4,24,10
IF-AL#,RandomWp100,RandomWp100,adg,63,212,14406,99222,10487,62782,0,3,24,9
IF-AL#,RandomWp25,RandomWp25,adg,62,131,1895,9983,3830,15453,0,4,0,10
IF-AL#,RandomWp25,RandomWp50,adg,50,107,2147,12051,5860,29958,0,3,9,9
IF-AL#,RandomWp25,RandomWp100,adg,65,130,3910,26757,8167,47364,0,1,25,7
IF-AL#,RandomWp50,RandomWp25,adg,58,136,5051,30626,4872,22750,0,4,9,10
IF-AL#,RandomWp50,RandomWp50,adg,85,392,7822,54505,8163,46726,0,3,27,9
IF-AL#,RandomWp50,RandomWp100,adg,46,104,7238,48829,8717,51099,0,1,22,7
IF-AL#,RandomWp100,RandomWp25,adg,70,196,10573,68873,7183,37285,0,8,17,14
IF-AL#,RandomWp100,RandomWp50,adg,57,185,13402,92410,8326,45434,0,5,24,11
IF-AL#,RandomWp100,RandomWp100,adg,70,229,14417,98546,10581,63387,0,3,23,9
IF-AL#,RandomWp25,RandomWp25,adg,60,178,3088,20723,6714,33431,0,5,18,11
IF-AL#,RandomWp25,RandomWp50,adg,55,142,2979,19390,7730,40380,0,4,17,10
IF-AL#,RandomWp25,RandomWp100,adg,66,214,3773,25782,9420,55946,0,2,26,8
IF-AL#,RandomWp50,RandomWp25,adg,63,198,6073,40106,6135,30772,0,5,18,11
IF-AL#,RandomWp50,RandomWp50,adg,63,220,6065,40075,9523,51943,0,7,20,13
IF-AL#,RandomWp50,RandomWp100,adg,51,128,6200,40502,9540,54729,0,3,19,9
IF-AL#,RandomWp100,RandomWp25,adg,85,392,15153,106038,6768,36768,0,3,27,9
IF-AL#,RandomWp100,RandomWp50,adg,65,144,14291,97478,7267,39939,0,2,23,8
IF-AL#,RandomWp100,RandomWp100,adg,72,251,13857,95442,10567,61053,0,4,22,10
IF-AL#,RandomWp25,RandomWp25,adg,67,122,2796,17388,3240,15021,0,1,15,7
IF-AL#,RandomWp25,RandomWp50,adg,58,146,2115,12084,5129,22867,0,5,5,11
IF-AL#,RandomWp25,RandomWp100,adg,48,108,3661,24636,7975,45977,0,1,23,7
IF-AL#,RandomWp50,RandomWp25,adg,67,270,6943,48007,7499,39418,0,5,25,11
IF-AL#,RandomWp50,RandomWp50,adg,56,168,5834,37624,7945,43114,0,5,16,11
IF-AL#,RandomWp50,RandomWp100,adg,54,138,7246,49538,10130,59659,0,3,25,9
IF-AL#,RandomWp100,RandomWp25,adg,64,227,12671,86694,6933,36036,0,6,23,12
IF-AL#,RandomWp100,RandomWp50,adg,62,170,11258,72395,7750,42891,0,5,17,11
IF-AL#,RandomWp100,RandomWp100,adg,54,154,15835,111558,9647,58505,0,2,28,8
IF-AL#,RandomWp25,RandomWp25,adg,46,100,4283,30140,5304,28948,0,0,30,6
IF-AL#,RandomWp25,RandomWp50,adg,53,126,3073,20007,6767,35159,0,4,19,10
IF-AL#,RandomWp25,RandomWp100,adg,50,119,2479,14608,6035,31893,0,2,11,8
IF-AL#,RandomWp50,RandomWp25,adg,63,222,5499,34891,7538,36902,0,7,14,13
IF-AL#,RandomWp50,RandomWp50,adg,63,214,6460,44252,8527,46771,0,5,23,11
IF-AL#,RandomWp50,RandomWp100,adg,46,100,8473,59843,8089,49157,0,0,30,6
IF-AL#,RandomWp100,RandomWp25,adg,79,232,10219,66810,7607,38925,0,9,17,15
IF-AL#,RandomWp100,RandomWp50,adg,67,231,14274,98551,8059,45019,0,4,25,10
IF-AL#,RandomWp100,RandomWp100,adg,65,130,16076,113106,8762,52616,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,56,132,3158,20473,4767,23384,0,2,19,8
IF-AL#,RandomWp25,RandomWp50,adg,47,111,2717,16697,5528,28281,0,2,15,8
IF-AL#,RandomWp25,RandomWp100,adg,64,172,3541,23635,8992,52914,0,2,21,8
IF-AL#,RandomWp50,RandomWp25,adg,62,149,5511,34645,5090,24655,0,4,14,10
IF-AL#,RandomWp50,RandomWp50,adg,57,167,5381,34857,9195,48227,0,6,16,12
IF-AL#,RandomWp50,RandomWp100,adg,48,114,7697,52438,8376,49550,0,1,23,7
IF-AL#,RandomWp100,RandomWp25,adg,67,196,11175,75030,8044,42269,0,8,20,14
IF-AL#,RandomWp100,RandomWp50,adg,53,121,12828,85101,7164,38610,0,3,20,9
IF-AL#,RandomWp100,RandomWp100,adg,65,130,16330,114475,8549,51151,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,58,144,2007,11552,5562,25055,0,7,8,13
IF-AL#,RandomWp25,RandomWp50,adg,65,144,3753,25464,7163,39178,0,2,23,8
IF-AL#,RandomWp25,RandomWp100,adg,50,136,3778,25579,8276,48398,0,1,24,7
IF-AL#,RandomWp50,RandomWp25,adg,58,163,5353,35386,6317,29811,0,7,15,13
IF-AL#,RandomWp50,RandomWp50,adg,64,130,6643,44125,6958,37972,0,3,22,9
IF-AL#,RandomWp50,RandomWp100,adg,53,133,5867,38179,9359,53053,0,4,18,10
IF-AL#,RandomWp100,RandomWp25,adg,70,232,11848,81105,7323,37780,0,7,18,13
IF-AL#,RandomWp100,RandomWp50,adg,63,225,11758,79749,9290,50317,0,8,21,14
IF-AL#,RandomWp100,RandomWp100,adg,50,136,16441,115704,9143,56163,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,58,140,1882,9992,3072,11566,0,3,3,9
IF-AL#,RandomWp25,RandomWp50,adg,46,100,3891,26393,5491,29828,0,0,25,6
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3468,22584,7820,45506,0,1,21,7
IF-AL#,RandomWp50,RandomWp25,adg,51,128,5915,38312,5669,28612,0,3,19,9
IF-AL#,RandomWp50,RandomWp50,adg,57,147,5681,35802,5758,29464,0,3,15,9
IF-AL#,RandomWp50,RandomWp100,adg,71,225,6687,43939,8785,50976,0,3,17,9
IF-AL#,RandomWp100,RandomWp25,adg,70,204,9370,60993,7668,39048,0,8,16,14
IF-AL#,RandomWp100,RandomWp50,adg,55,153,12176,81147,7435,39956,0,5,20,11
IF-AL#,RandomWp100,RandomWp100,adg,65,130,16129,113306,8690,52015,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,53,129,2342,13741,4898,22193,0,4,4,10
IF-AL#,RandomWp25,RandomWp50,adg,63,128,3648,24879,6696,36607,0,2,23,8
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3889,26182,7222,42035,0,0,20,6
IF-AL#,RandomWp50,RandomWp25,adg,70,186,5939,39683,6954,35058,0,6,19,12
IF-AL#,RandomWp50,RandomWp50,adg,67,149,5440,34076,5972,30236,0,4,15,10
IF-AL#,RandomWp50,RandomWp100,adg,65,180,6853,46141,9930,58203,0,3,24,9
IF-AL#,RandomWp100,RandomWp25,adg,69,274,14095,96957,6955,37510,0,4,25,10
IF-AL#,RandomWp100,RandomWp50,adg,77,155,14205,96473,6777,38063,0,2,25,8
IF-AL#,RandomWp100,RandomWp100,adg,81,226,16198,113915,8748,52522,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,59,127,2147,11771,3459,13371,0,4,5,10
IF-AL#,RandomWp25,RandomWp50,adg,58,138,2716,16996,6640,33740,0,5,14,11
IF-AL#,RandomWp25,RandomWp100,adg,46,100,3689,24608,8536,50467,0,1,21,7
IF-AL#,RandomWp50,RandomWp25,adg,71,328,7756,54533,6709,36790,0,2,28,8
IF-AL#,RandomWp50,RandomWp50,adg,46,100,7669,51696,5630,30766,0,0,20,6
IF-AL#,RandomWp50,RandomWp100,adg,81,226,8222,57640,8932,53740,0,1,29,7
IF-AL#,RandomWp100,RandomWp25,adg,63,226,14400,99761,6485,34288,0,4,25,10
IF-AL#,RandomWp100,RandomWp50,adg,69,290,15452,107752,7616,44318,0,3,26,9
IF-AL#,RandomWp100,RandomWp100,adg,65,130,16190,113746,8679,52155,0,1,29,7
IF-AL#,RandomWp25,RandomWp25,adg,55,152,2417,14478,5671,26217,0,6,9,12
IF-AL#,RandomWp25,RandomWp50,adg,49,115,3740,25205,5830,31550,0,1,24,7
IF-AL#,RandomWp25,RandomWp100,adg,48,114,2846,18310,6995,39605,0,2,16,8
IF-AL#,RandomWp50,RandomWp25,adg,54,166,5009,29588,4821,22665,0,4,8,10
IF-AL#,RandomWp50,RandomWp50,adg,46,100,4901,28791,3258,14998,0,0,10,6
IF-AL#,RandomWp50,RandomWp100,adg,61,129,7170,48300,8788,50748,0,2,23,8
IF-AL#,RandomWp100,RandomWp25,adg,63,138,15427,107954,6145,33148,0,2,27,8
IF-AL#,RandomWp100,RandomWp50,adg,59,167,11540,77031,8336,46174,0,6,20,12
IF-AL#,RandomWp100,RandomWp100,adg,71,240,15628,109296,9367,56161,0,2,28,8
