method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp100,RandomWp50,adg,2284,7061,409828,2711560,18057,106713,0,8,514,30
IF-AL#,RandomWp100,RandomWp100,adg,2087,5691,417650,2790546,26076,165672,0,2,542,24
IF-AL#,RandomWp25,RandomWp25,adg,2221,6635,102961,660502,14873,78229,19,16,430,38
IF-AL#,RandomWp25,RandomWp50,adg,1958,5520,112900,738893,15704,92195,1,0,555,22
IF-AL#,RandomWp25,RandomWp100,adg,2057,6038,110360,721889,25242,158297,5,3,502,25
IF-AL#,RandomWp50,RandomWp25,adg,2324,7234,216096,1424769,14591,79232,8,13,550,35
IF-AL#,RandomWp50,RandomWp50,adg,2267,6734,217735,1435264,16668,97699,9,2,546,24
IF-AL#,RandomWp50,RandomWp100,adg,2036,7058,211751,1379116,28298,176413,3,6,495,28
IF-AL#,RandomWp100,RandomWp25,adg,2079,6045,418950,2800423,11590,63508,0,4,546,26
IF-AL#,RandomWp100,RandomWp50,adg,2280,7425,411742,2738094,18077,107017,0,8,525,30
IF-AL#,RandomWp100,RandomWp100,adg,1911,5685,420520,2810310,25287,160518,1,1,556,23
IF-AL#,RandomWp25,RandomWp25,adg,2233,6641,104655,670177,14663,78113,15,12,455,34
IF-AL#,RandomWp25,RandomWp50,adg,2130,6139,110745,725041,16892,99134,13,6,526,28
IF-AL#,RandomWp25,RandomWp100,adg,1953,5775,112662,738052,24842,156069,3,0,553,22
IF-AL#,RandomWp50,RandomWp25,adg,2233,7369,212943,1394091,13445,72739,2,10,518,32
IF-AL#,RandomWp50,RandomWp50,adg,1914,5775,217676,1436964,17728,104916,1,3,551,25
IF-AL#,RandomWp50,RandomWp100,adg,1939,5586,218196,1439875,25318,159737,8,2,548,24
IF-AL#,RandomWp100,RandomWp25,adg,2345,6484,418507,2798125,11698,63833,0,3,548,25
IF-AL#,RandomWp100,RandomWp50,adg,2078,7417,409364,2732686,20003,115797,3,13,541,35
IF-AL#,RandomWp100,RandomWp100,adg,2065,6046,418607,2797040,26487,168595,0,2,549,24
IF-AL#,RandomWp25,RandomWp25,adg,2087,5984,110312,722587,12076,65346,11,7,521,29
IF-AL#,RandomWp25,RandomWp50,adg,2073,6138,105191,669328,20300,117783,5,11,444,33
IF-AL#,RandomWp25,RandomWp100,adg,1872,5779,105173,663617,25204,154389,1,2,406,24
IF-AL#,RandomWp50,RandomWp25,adg,2092,6021,218866,1444935,11622,62408,3,2,553,24
IF-AL#,RandomWp50,RandomWp50,adg,2127,6623,214476,1407549,18892,109488,0,8,520,30
IF-AL#,RandomWp50,RandomWp100,adg,2386,7481,214649,1407279,29362,183136,2,7,522,29
IF-AL#,RandomWp100,RandomWp25,adg,2402,6902,412858,2760810,12896,68853,4,10,541,32
IF-AL#,RandomWp100,RandomWp50,adg,2104,6012,414283,2764779,17279,102845,6,6,536,28
IF-AL#,RandomWp100,RandomWp100,adg,2125,8066,415314,2773337,29712,189485,2,6,546,28
IF-AL#,RandomWp25,RandomWp25,adg,2173,6301,109994,717899,13093,70688,12,7,526,29
IF-AL#,RandomWp25,RandomWp50,adg,2045,5954,111193,727749,17196,101251,6,4,540,26
IF-AL#,RandomWp25,RandomWp100,adg,1888,5245,112335,735666,25034,158476,5,1,552,23
IF-AL#,RandomWp50,RandomWp25,adg,2324,7186,213423,1402259,14822,80183,7,13,531,35
IF-AL#,RandomWp50,RandomWp50,adg,2131,6682,210866,1373607,17756,104044,5,7,484,29
IF-AL#,RandomWp50,RandomWp100,adg,2402,6886,217634,1436561,25742,162988,8,2,538,24
IF-AL#,RandomWp100,RandomWp25,adg,2066,6993,410957,2736153,12243,66411,3,10,523,32
IF-AL#,RandomWp100,RandomWp50,adg,2349,7309,407947,2707743,19633,114892,1,11,518,33
IF-AL#,RandomWp100,RandomWp100,adg,1964,5684,418955,2801315,25360,159175,1,3,552,25
IF-AL#,RandomWp25,RandomWp25,adg,2090,6160,110265,720853,12621,68371,8,7,530,29
IF-AL#,RandomWp25,RandomWp50,adg,1873,6665,109317,707391,18014,104463,1,6,500,28
IF-AL#,RandomWp25,RandomWp100,adg,2043,5912,112249,736858,28442,179577,12,5,555,27
IF-AL#,RandomWp50,RandomWp25,adg,2253,6425,217727,1439029,11862,65500,2,5,547,27
IF-AL#,RandomWp50,RandomWp50,adg,2154,8262,215879,1420916,18407,106655,1,5,538,27
IF-AL#,RandomWp50,RandomWp100,adg,2326,7103,207531,1338119,28943,180546,3,7,453,29
IF-AL#,RandomWp100,RandomWp25,adg,1914,5775,417694,2791551,12261,66922,1,3,551,25
IF-AL#,RandomWp100,RandomWp50,adg,2023,5869,416071,2781377,17209,101474,0,5,539,27
IF-AL#,RandomWp100,RandomWp100,adg,1864,6541,403042,2656464,29647,185909,0,7,484,29
IF-AL#,RandomWp25,RandomWp25,adg,2247,6292,104799,667683,13095,68768,6,11,452,33
IF-AL#,RandomWp25,RandomWp50,adg,2083,6773,106212,680679,18515,106535,12,9,458,31
IF-AL#,RandomWp25,RandomWp100,adg,2018,5676,111795,731253,26422,166545,7,3,547,25
IF-AL#,RandomWp50,RandomWp25,adg,2058,6426,201358,1280519,12461,65020,4,10,408,32
IF-AL#,RandomWp50,RandomWp50,adg,2091,6518,207279,1338461,18435,106297,0,8,453,30
IF-AL#,RandomWp50,RandomWp100,adg,1958,5520,219382,1448300,25010,157552,1,0,557,22
IF-AL#,RandomWp100,RandomWp25,adg,2216,6825,406743,2686800,12303,66188,1,8,498,30
IF-AL#,RandomWp100,RandomWp50,adg,2245,6935,407434,2702480,19490,113316,4,10,517,32
IF-AL#,RandomWp100,RandomWp100,adg,2004,5586,422480,2826570,26152,166247,0,1,564,23
IF-AL#,RandomWp25,RandomWp25,adg,2146,6355,100634,633232,12100,62015,28,8,372,30
IF-AL#,RandomWp25,RandomWp50,adg,2023,6235,106538,680040,18607,108472,4,7,449,29
IF-AL#,RandomWp25,RandomWp100,adg,1931,5817,112253,736053,24882,156631,1,1,544,23
IF-AL#,RandomWp50,RandomWp25,adg,2276,6882,219809,1452184,10961,59067,0,1,554,23
IF-AL#,RandomWp50,RandomWp50,adg,2043,5940,218088,1440962,17117,101202,1,5,547,27
IF-AL#,RandomWp50,RandomWp100,adg,2041,5869,217156,1432960,26274,167206,5,4,545,26
IF-AL#,RandomWp100,RandomWp25,adg,2242,7516,412725,2757766,13099,70499,33,9,541,31
IF-AL#,RandomWp100,RandomWp50,adg,2113,6658,415568,2768505,16450,95782,0,4,538,26
IF-AL#,RandomWp100,RandomWp100,adg,2474,8076,413838,2756743,30365,191453,1,7,538,29
IF-AL#,RandomWp25,RandomWp25,adg,2216,6651,105334,670486,13485,72897,9,11,437,33
IF-AL#,RandomWp25,RandomWp50,adg,2006,5804,110790,723336,16557,96241,4,3,540,25
IF-AL#,RandomWp25,RandomWp100,adg,1956,5541,112581,736451,25014,157237,2,0,556,22
IF-AL#,RandomWp50,RandomWp25,adg,2355,7410,213429,1406115,14662,78934,5,16,535,38
IF-AL#,RandomWp50,RandomWp50,adg,2129,6990,215216,1419269,19679,115301,3,9,538,31
IF-AL#,RandomWp50,RandomWp100,adg,2009,5783,218563,1443172,25032,158513,5,2,551,24
IF-AL#,RandomWp100,RandomWp25,adg,2032,5894,416790,2783839,11717,63560,0,5,537,27
IF-AL#,RandomWp100,RandomWp50,adg,2277,6798,410969,2729597,18301,107152,1,9,523,31
IF-AL#,RandomWp100,RandomWp100,adg,2098,6064,417339,2791250,27590,174641,2,5,549,27
IF-AL#,RandomWp25,RandomWp25,adg,2347,6552,104244,657591,11589,60600,12,4,393,26
IF-AL#,RandomWp25,RandomWp50,adg,2353,7083,111528,729288,18349,107930,5,5,546,27
IF-AL#,RandomWp25,RandomWp100,adg,1969,5433,110659,723663,26794,167955,15,3,531,25
IF-AL#,RandomWp50,RandomWp25,adg,2110,6323,208844,1348589,12702,68182,1,8,461,30
IF-AL#,RandomWp50,RandomWp50,adg,2090,6030,214797,1417156,17172,101006,10,5,532,27
IF-AL#,RandomWp50,RandomWp100,adg,2010,5866,214263,1402108,25754,162194,3,4,510,26
